task start end duration memory size
1.1229 1493273964104 1493274040731 76627 128 50
1.8198 1493273962158 1493273987857 25699 128 50
1.8792 1493273962155 1493273987915 25760 128 50
1.4402 1493238619941 1493238661819 41878 128 50
1.7448 1493274323331 1493274384513 61182 128 50
1.8614 1493273962620 1493273986498 23878 128 50
1.8596 1493274082413 1493274118253 35840 128 50
1.9703 1493273962839 1493274008421 45582 128 50
1.9702 1493273962861 1493274011884 49023 128 50
1.2781 1493274082373 1493274180853 98480 128 50
2.2369 1493273962198 1493274015477 53279 128 50
1.8411 1493273962175 1493273989138 26963 128 50
1.579 1493273962715 1493273992262 29547 128 50
0.9423 1493273964057 1493274067691 103634 128 50
1.0208 1493274082363 1493274251722 169359 128 50
2.276 1493273962904 1493274011663 48759 128 50
1.1158 1493273964156 1493274022739 58583 128 50
0.9904 1493275332579 1493275391779 59200 128 60
1.0866 1493275285559 1493275400200 114641 128 60
1.1788 1493275405441 1493275506172 100731 128 60
1.8811 1493275285911 1493275389945 104034 128 60
1.9517 1493275404540 1493275435420 30880 128 60
1.0724 1493275286556 1493275361407 74851 128 60
1.0792 1493275286543 1493275373626 87083 128 60
1.2677 1493275464893 1493275556779 91886 128 60
1.1619 1493275285504 1493275370822 85318 128 60
1.0722 1493275286366 1493275363248 76882 128 60
1.0656 1493275286604 1493275397997 111393 128 60
1.0728 1493275285638 1493275360400 74762 128 60
1.1623 1493275405832 1493275493234 87402 128 60
1.0725 1493275286447 1493275388511 102064 128 60
1.0728 1493275286398 1493275376927 90529 128 60
1.1153 1493275286529 1493275336192 49663 128 60
1.1306 1493275286481 1493275355039 68558 128 60
1.3491 1493275463891 1493275502691 38800 128 60
1.1154 1493275286453 1493275332692 46239 128 60
1.2768 1493275451367 1493275512667 61300 128 60
1.2583 1493275330494 1493275397111 66617 128 60
1.0791 1493275286540 1493275362330 75790 128 60
1.8794 1493239232658 1493239294499 61841 128 60
1.8596 1493275284574 1493275553755 269181 128 60
1.0863 1493275286482 1493275386517 100035 128 60
1.0725 1493275286373 1493275383527 97154 128 60
1.0939 1493275286390 1493275360508 74118 128 60
0.7818 1493275285662 1493275402521 116859 128 60
1.3057 1493275460504 1493275627264 166760 128 60
1.8603 1493275285542 1493275331222 45680 128 60
2.0175 1493275285527 1493275328522 42995 128 60
0.8995 1493275286444 1493275364977 78533 128 60
2.3713 1493275525168 1493275571520 46352 128 60
1.1627 1493275285639 1493275343318 57679 128 60
1.8626 1493275284493 1493275540232 255739 128 60
1.1307 1493275286477 1493275352579 66102 128 60
1.0798 1493275286552 1493275371675 85123 128 60
1.8935 1493275644987 1493275744504 99517 128 60
1.1308 1493275286489 1493275380840 94351 128 60
1.0939 1493275284464 1493275347139 62675 128 60
1.1619 1493275285632 1493275345218 59586 128 60
1.2584 1493275333161 1493275395642 62481 128 60
1.0796 1493275286489 1493275342615 56126 128 60
1.1787 1493275345837 1493275456053 110216 128 60
1.0705 1493275286473 1493275390992 104519 128 60
1.0863 1493275286536 1493275355046 68510 128 60
1.3279 1493275336751 1493275394592 57841 128 60
1.1307 1493275346130 1493275376774 30644 128 60
1.2586 1493275284419 1493275331860 47441 128 60
1.1092 1493275404531 1493275456291 51760 128 60
1.0657 1493275286473 1493275344619 58146 128 60
1.0799 1493275286541 1493275383282 96741 128 60
1.1462 1493275285571 1493275368682 83111 128 60
1.2582 1493275649707 1493275719867 70160 128 60
1.0728 1493275286545 1493275379354 92809 128 60
