date,provider,memory,macAddr,deployment,external
"2017-10-17T04:25:34.607994109Z","aws","1536","""02:2f:b7:31:d9:fe""",,5.59336
"2017-10-17T04:30:00.038505879Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.231535
"2017-10-17T04:35:01.610967101Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.601534
"2017-10-17T04:40:40.294963641Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.68496
"2017-10-17T04:45:39.550448831Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.180803
"2017-10-17T04:50:41.254455715Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.64767
"2017-10-17T04:55:43.218410944Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.609988
"2017-10-17T05:00:37.906372816Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.202796
"2017-10-17T05:05:33.747419661Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.438933
"2017-10-17T05:10:40.310718233Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.197791
"2017-10-17T05:15:43.731244537Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.189242
"2017-10-17T05:20:38.813483709Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.275713
"2017-10-17T05:25:33.409504905Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.185813
"2017-10-17T05:30:32.236422337Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.228203
"2017-10-17T05:35:32.554582871Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.282287
"2017-10-17T05:40:30.830301964Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.191168
"2017-10-17T05:45:31.280260226Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.294734
"2017-10-17T05:50:32.135108605Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.221555
"2017-10-17T05:55:29.032008137Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.185552
"2017-10-17T06:00:26.709688033Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.302339
"2017-10-17T06:05:22.627365318Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.474528
"2017-10-17T06:10:23.119360484Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.236782
"2017-10-17T06:15:27.767654701Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.215611
"2017-10-17T06:20:33.515716074Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.229141
"2017-10-17T06:25:28.847867074Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.336346
"2017-10-17T06:30:36.427261477Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.22447
"2017-10-17T06:35:20.196160836Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.193542
"2017-10-17T06:40:23.370520293Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.223119
"2017-10-17T06:45:24.78446339Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.315131
"2017-10-17T06:50:29.382977485Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.332996
"2017-10-17T06:55:16.81903757Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.217739
"2017-10-17T07:00:13.295053202Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.186888
"2017-10-17T07:05:26.845039044Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.233313
"2017-10-17T07:10:22.068751144Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.227153
"2017-10-17T07:15:23.590085316Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.285243
"2017-10-17T07:20:28.509585881Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.223533
"2017-10-17T07:25:31.288182833Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.237839
"2017-10-17T07:30:31.810528779Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.200677
"2017-10-17T07:35:29.749858236Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.396323
"2017-10-17T07:40:21.688070635Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.329171
"2017-10-17T07:45:25.369018643Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.253386
"2017-10-17T07:50:28.519358799Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.20615
"2017-10-17T07:55:10.670994943Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.226501
"2017-10-17T08:00:19.259102194Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.307258
"2017-10-17T08:05:20.073295699Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.183673
"2017-10-17T08:10:21.504637245Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.243327
"2017-10-17T08:15:20.221074444Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.213606
"2017-10-17T08:20:21.808498846Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.438572
"2017-10-17T08:25:17.755728506Z","aws","1536","""02:2f:b7:31:d9:fe""",,4.195318
"2017-10-16T16:55:13.816151964Z","bluemix","512","""03a4f4877e35""",,7.39907
"2017-10-16T17:00:12.252317115Z","bluemix","512","""03a4f4877e35""",,5.671449
"2017-10-16T17:05:12.036472513Z","bluemix","512","""03a4f4877e35""",,5.763008
"2017-10-16T17:10:12.172027897Z","bluemix","512","""03a4f4877e35""",,5.67394
"2017-10-16T17:15:11.863282861Z","bluemix","512","""03a4f4877e35""",,5.612789
"2017-10-16T17:20:11.696840434Z","bluemix","512","""03a4f4877e35""",,5.458855
"2017-10-16T17:25:11.71335894Z","bluemix","512","""03a4f4877e35""",,5.794564
"2017-10-16T17:30:10.540768911Z","bluemix","512","""03a4f4877e35""",,5.688973
"2017-10-16T17:35:12.191573223Z","bluemix","512","""03a4f4877e35""",,5.434626
"2017-10-16T17:40:10.96036419Z","bluemix","512","""03a4f4877e35""",,5.375704
"2017-10-17T11:42:32.458061025Z","bluemix","128","""0bf77e60cc56""",,6.64892
"2017-10-17T11:47:33.318578424Z","bluemix","128","""0bf77e60cc56""",,5.679425
"2017-10-17T11:52:33.531313419Z","bluemix","128","""0bf77e60cc56""",,5.679638
"2017-10-17T11:57:29.318903644Z","bluemix","128","""0bf77e60cc56""",,5.593748
"2017-10-17T12:02:28.978683819Z","bluemix","128","""0bf77e60cc56""",,5.664645
"2017-10-17T12:07:32.607460022Z","bluemix","128","""0bf77e60cc56""",,5.728789
"2017-10-17T12:12:30.365518986Z","bluemix","128","""0bf77e60cc56""",,5.570946
"2017-10-17T12:17:29.44896094Z","bluemix","128","""0bf77e60cc56""",,5.685533
"2017-10-17T12:22:31.027055115Z","bluemix","128","""0bf77e60cc56""",,5.626342
"2017-10-17T12:27:27.999794582Z","bluemix","128","""0bf77e60cc56""",,5.547156
"2017-10-17T12:32:29.059295648Z","bluemix","128","""0bf77e60cc56""",,5.669806
"2017-10-17T12:37:30.021913789Z","bluemix","128","""0bf77e60cc56""",,5.719775
