task start end duration memory size
12.6655 1494286688642 1494286717930 29288 128 50
14.329 1494286707111 1494286734933 27822 128 50
13.3564 1494286750088 1494286779596 29508 128 50
15.1372 1494286812520 1494286838198 25678 128 50
13.7892 1494286780319 1494286809203 28884 128 50
13.4895 1494286771994 1494286802943 30949 128 50
13.9986 1494286720066 1494286748342 28276 128 50
13.3144 1494286751436 1494286780331 28895 128 50
13.0242 1494286782886 1494286813713 30827 128 50
14.7456 1494286800811 1494286828495 27684 128 50
14.7676 1494286793496 1494286820748 27252 128 50
14.918 1494286801962 1494286829145 27183 128 50
14.207 1494286792506 1494286819935 27429 128 50
14.5895 1494286654537 1494286681712 27175 128 50
13.8362 1494286791205 1494286819117 27912 128 50
13.6829 1494286696527 1494286724418 27891 128 50
13.9905 1494286687349 1494286715716 28367 128 50
14.6408 1494287035242 1494287062705 27463 128 60
14.4436 1494287024848 1494287053445 28597 128 60
13.3402 1494287008276 1494287036899 28623 128 60
12.8303 1494287013644 1494287042130 28486 128 60
13.088 1494286951809 1494286981690 29881 128 60
13.5807 1494286897401 1494286926517 29116 128 60
14.5049 1494286885454 1494286912197 26743 128 60
13.5985 1494286971813 1494287001231 29418 128 60
13.6063 1494287014326 1494287042105 27779 128 60
13.7262 1494286876476 1494286905022 28546 128 60
14.545 1494286855137 1494286882240 27103 128 60
14.1852 1494286856023 1494286883124 27101 128 60
13.6019 1494286961128 1494286989649 28521 128 60
13.4852 1494286906196 1494286935254 29058 128 60
13.1612 1494286909165 1494286938906 29741 128 60
15.1061 1494286896133 1494286924044 27911 128 60
13.2527 1494286867316 1494286895619 28303 128 60
13.4263 1494286886754 1494286915330 28576 128 60
13.9551 1494286946988 1494286975416 28428 128 60
14.5194 1494287023635 1494287050891 27256 128 60
14.4361 1494287034106 1494287061711 27605 128 60
13.4648 1494286876348 1494286905094 28746 128 60
14.8158 1494286844678 1494286870447 25769 128 60
13.6827 1494286939954 1494286968604 28650 128 60
15.278 1494287040959 1494287067408 26449 128 60
13.2399 1494286887964 1494286917701 29737 128 60
13.9233 1494286926836 1494286955723 28887 128 60
14.2732 1494286866009 1494286894197 28188 128 60
14.1062 1494286936736 1494286964243 27507 128 60
13.7492 1494286977641 1494287005757 28116 128 60
13.3454 1494286898536 1494286926959 28423 128 60
13.8902 1494286929627 1494286957652 28025 128 60
13.3103 1494286993526 1494287022043 28517 128 60
14.1414 1494286844151 1494286871324 27173 128 60
14.2824 1494286864727 1494286891689 26962 128 60
13.4053 1494286950620 1494286978503 27883 128 60
13.9005 1494286918647 1494286946610 27963 128 60
13.7388 1494286992329 1494287020532 28203 128 60
13.9926 1494286916462 1494286944908 28446 128 60
13.4101 1494286877497 1494286905955 28458 128 60
13.3435 1494286907879 1494286937358 29479 128 60
13.9332 1494286957405 1494286985432 28027 128 60
14.5613 1494287002921 1494287029418 26497 128 60
13.8669 1494287019017 1494287048040 29023 128 60
14.1355 1494286981924 1494287010200 28276 128 60
13.9055 1494286987672 1494287014899 27227 128 60
14.4564 1494287029389 1494287057327 27938 128 60
13.6961 1494287003981 1494287032424 28443 128 60
13.7838 1494286972975 1494287001644 28669 128 60
13.9045 1494286967522 1494286995790 28268 128 60
13.7858 1494286962169 1494286990430 28261 128 60
13.9498 1494286998160 1494287026628 28468 128 60
15.3448 1494287044385 1494287069730 25345 128 60
15.2811 1494287045482 1494287071116 25634 128 60
15.264 1494286940410 1494286965342 24932 128 60
14.0157 1494286853994 1494286881604 27610 128 60
14.1925 1494286983112 1494287011121 28009 128 60
